Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ярош,Аарон,Данилович,male,1971-03-13,Програміст,місто Берегове,"проспект Соляна, буд. 216, Підгайці, 59594",021 654 98 48,boryslav59@example.com
Тесля,Феофан,Андрійович,male,1939-02-23,Фінансовий аналітик,селище Кремінна,"набережна Лузанівський, буд. 758, Лозова , 23380",211 38 09,rtereshchuk@example.com
Гунько,Гордій,Леонідович,male,1992-09-11,Програміст,місто Соснівка ,"проспект Естафетна, буд. 7 кв. 01, Фастів, 50643",+380 95 829-02-47,petrovasylenko@example.net
Проценко,Камілла,Андріївна,female,1988-03-14,Аналітик даних,хутір Миргород,"сквер Хімічний 1-й, буд. 91, Валки , 56944",031 218 01 22,saienkoavrelii@example.net
Фесенко,Ганна,Назарівна,female,1980-06-30,Асистент керівника,село Красноград,"проспект Композитора Глинки, буд. 4, Острог, 35718",+380 40 520 97 59,amykhaliuk@example.org
Шеремета,Анастасія,Захарівна,female,1982-06-19,Програміст,село Жашків,"шосе Слєпньова, буд. 828, Старокостянтинів, 25930",+380 (62) 073-43-25,emamchur@example.com
Дрозденко,Ольга,Данилівна,female,1956-07-07,Аудитор,місто Буськ,"набережна Лінія 29-та, буд. 58, Скалат, 24471",896 03 79,levko41@example.com
Доценко,Зиновій,Сергійович,male,1977-03-05,Копірайтер,місто Ужгород,"вулиця Радісний, буд. 775 кв. 75, Олевськ, 53034",+380 13 531 00 05,lshablii@example.org
Акуленко,Теодор,Кирилович,male,1989-04-30,Тестувальник,хутір Немирів,"провулок Сонячна, буд. 8, Макіївка, 60992",+380 34 077 05 80,kamillachumak@example.net
Савенко,Ольга,Юріївна,female,1978-01-20,Дизайнер,місто Миколаїв,"шосе Паустовського, буд. 0 кв. 248, Алушта, 37104",139-22-40,kyrylohuk@example.org
Гаєвський,Альбіна,Андріївна,female,1969-07-14,Офіс-менеджер,село Сулимівка (Слов'янськ),"провулок Офіцерська, буд. 308, Ніжин, 01388",+380 (71) 691-02-16,numanets@example.net
Приходько,Валерій,Назарович,male,1945-05-07,Дизайнер,хутір Тараща,"вулиця Морехідний, буд. 7 кв. 96, Боярка, 36369",+380 17 506-56-56,frantsdubenko@example.net
Павличенко,Віра,Данилівна,female,1956-09-09,HR-менеджер,село Первомайський ,"проспект Соляний 1-й, буд. 759, Ворожба, 29842",+380 39 861-74-87,bohdannadashkevych@example.org
Аврамчук,Трохим,Давидович,male,1950-12-26,Програміст,хутір Лутугине,"сквер Щіпний, буд. 4, Хрестівка, 62466",+380 22 087-56-95,mpryimak@example.org
Смик,Еріка,Данилівна,female,1953-10-10,Інженер з якості,хутір Івано-Франківськ,"сквер Ашгабатська, буд. 073 кв. 89, Дебальцеве, 51298",024 228-54-01,emiliiakybkalo@example.net
Скиба,Геннадій,Григорійович,male,2002-04-03,Системний адміністратор,місто Феодосія,"вулиця Наливна, буд. 9, Перечин, 71408",518 79 93,iosypdavymuka@example.net
Дуплій,Юстина,Григоріївна,female,1990-03-09,Дизайнер,село Миргород,"парк Базарна, буд. 3, Чугуїв, 83665",768 04 31,snizhana70@example.com
Демʼяненко,Віолетта,Іванівна,female,1998-04-18,Менеджер з продажу,село Василівка ,"набережна Архітекторська, буд. 3, Підгородне, 92416",+380 (28) 585-22-75,panteleimonievdokymenko@example.org
Захаренко,Любов,Денисівна,female,1958-06-11,Менеджер з закупівель,селище Дрогобич,"узвіз Асташкіна, буд. 7 кв. 64, Яворів, 26629",+380 19 568-76-05,kkorolenko@example.net
Лагода,Адам,Леонідович,male,1997-05-28,Менеджер з закупівель,селище Першотравенськ,"проспект Строганова, буд. 1 кв. 460, Кам'янське, 16222",261-98-20,viacheslav38@example.net
Рудик,Оксенія,Марківна,female,1952-08-04,PR-менеджер,село Монастирище,"вулиця Люстдорфська дорога, буд. 136, Кам'янець-Подільський, 67956",765 30 50,kbaida@example.net
Затовканюк,Яків,Юрійович,male,1975-12-08,Системний адміністратор,село Світловодськ,"сквер Яші Гордієнка, буд. 6 кв. 858, Алупка, 64915",+380 24 894-41-70,ieva84@example.net
Вишняк,Ганна,Кирилівна,female,1949-11-02,Системний адміністратор,селище Валки ,"сквер Угорська, буд. 450 кв. 681, Нетішин, 88325",062 093 50 71,hermantsymbaliuk@example.com
Кащенко,Надія,Данилівна,female,1955-08-25,Бухгалтер,селище Білицьке,"проспект Мінська, буд. 767 кв. 2, Радивилів, 94967",+380 (89) 731-81-26,jsimashkevych@example.com
Лубенець,Софія,Олександрівна,female,1975-03-01,Копірайтер,селище Першотравенськ,"набережна Овідіопольська, буд. 706 кв. 67, Радомишль, 97292",098 448 75 58,nalyvaikomykolai@example.org
Валенко,Лукʼян,Павлович,male,1987-12-15,PR-менеджер,селище Гайсин,"сквер Нафтовиків, буд. 791, Сімферополь, 11715",+380 04 111 76 34,zkonoplenko@example.org
Ляшко,Нестор,Євгенович,male,1996-03-24,Копірайтер,селище Березівка,"узвіз 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 37 кв. 32, Гірське, 70720",908-98-76,ustym63@example.net
Вишняк,Ярема,Станіславович,male,1979-04-29,Кадровий менеджер,селище Суходільськ,"площа Ламаний, буд. 233 кв. 299, Жмеринка, 45438",147 43 11,emiliiadankevych@example.net
Цушко,Пармен,Данилович,male,1996-05-22,Аудитор,селище Любомль,"парк Новосельского, буд. 32 кв. 796, Харцизьк, 83891",562-07-10,qchaban@example.org
Бараник,Людмила,Федорівна,female,1946-05-10,Кадровий менеджер,селище Сміла,"набережна Мукачівський, буд. 4 кв. 7, Соснівка , 10507",410-13-27,hanna24@example.net
Яценко,Павло,Данилович,male,1940-03-14,Менеджер з продукту,місто Жовті Води,"провулок Польський узвіз, буд. 264 кв. 9, Фастів, 37537",682 53 47,snehoda@example.net
Вовк,Онисим,Назарович,male,1995-11-22,HR-менеджер,село Сторожинець,"парк Сирітський 2-й, буд. 27, Яремче, 57865",083 719-72-23,zinchukhlib@example.net
Вітрук,Яків,Назарович,male,1950-03-24,Програміст,селище Красногорівка,"вулиця Чорноморський 10-й, буд. 02, Бунге , 79696",560 18 06,wsymonenko@example.net
Бандура,Єва,Максимівна,female,1996-06-29,HR-менеджер,хутір Остер ,"площа Старокінний, буд. 814, Алупка, 31333",011 909 94 50,iosyptkachenko@example.net
Рак,Олесь,Остапович,male,1964-03-01,Тестувальник,місто Моспине,"шосе Діхтієвського Віктора, буд. 289 кв. 23, Южне, 32694",008 866 83 85,aaron57@example.net
Проценко,Лесь,Ігорович,male,1954-08-24,Дизайнер,хутір Тростянець,"набережна Донцова Дмитра, буд. 838, Ланівці, 12352",090 446-66-90,liudmylatkachenko@example.net
Вітер,Клавдія,Іванівна,female,1981-11-01,Дизайнер,хутір Березань ,"проспект Щіпний, буд. 4 кв. 00, Хмельницький, 89276",136-56-52,martynabramenko@example.org
Єременко,Софія,Григоріївна,female,2003-10-30,Аудитор,селище Антрацит ,"провулок Студентський 4-й, буд. 49, Тульчин, 48676",040 733-59-51,sahaliosyp@example.com
Аврамчук,Опанас,Борисович,male,1958-03-11,Фінансовий аналітик,село Нетішин,"узвіз Гагаріна, буд. 545 кв. 1, Підгородне, 57247",+380 89 225-82-73,zakhar25@example.org
